State,PopulationCount,Diabetes%,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Alabama,2895464.0,13.426309047530893,"(32.84057112200048, -86.63186076199969)",33.41985580031708,34.40266520789685,30.35171857098218,24.37939774924557,43.95677250920822,25.80161020633381,15.482847937171194,25.599804503960264,45.60294680805392
Alaska,875478.0,7.560698612643607,"(64.84507995700051, -147.72205903599973)",28.33714633745995,37.627901149226645,20.65171904446596,34.140095975232185,57.32732376102979,37.255386183718,24.58628966313393,18.77631189083821,39.08751951766251
Arizona,11687735.0,9.18138346736985,"(34.865970280000454, -111.76381127699972)",27.033481601826647,36.21115507794922,22.765078095075967,31.00290213211818,53.82466702990678,34.43584480676942,22.61320853153292,20.74374937363452,38.150600029485474
Arkansas,1471103.0,10.403361083486342,"(34.74865012400045, -92.27449074299966)",33.93226891919961,34.85922101486915,32.90049112616532,22.91231011699097,43.90880526716889,27.368901603269403,14.846759528935042,27.51855968406934,48.64268139106849
California,67100209.0,9.794144393797644,"(37.63864012300047, -120.99999953799971)",24.05611830197993,35.8823034185456,19.66806698150821,32.60596369998978,58.27307870452845,36.68851216112371,23.774697260544286,16.757566148638812,31.444280057224105
Colorado,7530596.0,7.373473786138572,"(38.843840757000464, -106.13361092099967)",20.7198641783948,35.75688024829032,16.944604662983725,35.38897454218996,61.50130575083018,39.97417966521951,26.73895235125712,18.194225473039232,35.07642084943868
Connecticut,2614482.0,10.702947122986505,"(41.56266102000046, -72.64984095199964)",25.27031967271109,36.19141011069897,23.02213569770103,30.411319420127462,53.404144097854086,33.17565581769129,21.23858129116499,20.01677001107514,33.22244971588347
Delaware,212553.0,14.177551481277613,"(39.008830667000495, -75.57774116799965)",29.443460868639395,36.43370760020386,26.480698824305023,31.06042841751696,49.105578088032665,30.15588181317673,20.76183452196109,24.273253804270137,38.81347210508829
District of Columbia,1805136.0,8.870704312583651,"(38.89037138500049, -77.03196112699965)",22.511000607538477,31.285538838144568,19.40886807675353,34.919280832836606,58.186591723921225,35.150930021467566,25.46908314639264,19.37132998833467,33.23675925413601
Florida,15498792.0,11.273714448196994,"(28.932040377000476, -81.92896053899966)",26.1998974371292,36.652334780383846,26.25077973937611,29.27458259266574,51.60878522099449,32.89636253324585,20.310997980448505,20.77255966637077,37.47305054868582
Georgia,4655188.0,11.485594717119904,"(32.83968109300048, -83.62758034599966)",29.556174120550484,35.20776383101349,25.92435641189639,29.57180030622936,50.51056045495755,31.75857179599931,20.25978374055532,23.062096208299963,42.297438588782846
Hawaii,2859575.0,10.930848745005813,"(21.304850435000446, -157.85774940299973)",22.17921471642538,34.05486573994728,20.686345103969064,33.177255288220955,58.899684000000015,38.72403365658412,24.546399426998665,21.87584510878273,39.265357041565565
