State,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Alabama,"(32.84057112200048, -86.63186076199969)",33.41985580031708,34.40266520789685,30.35171857098218,24.37939774924557,43.95677250920822,25.80161020633381,15.482847937171194,25.599804503960264,45.60294680805392
Alaska,"(64.84507995700051, -147.72205903599973)",28.33714633745995,37.627901149226645,20.651719044465956,34.140095975232185,57.32732376102979,37.255386183717995,24.586289663133932,18.776311890838212,39.08751951766251
Arizona,"(34.865970280000454, -111.76381127699972)",27.033481601826647,36.21115507794922,22.765078095075967,31.00290213211818,53.82466702990678,34.43584480676942,22.613208531532916,20.743749373634518,38.150600029485474
Arkansas,"(34.74865012400045, -92.27449074299966)",33.93226891919961,34.85922101486915,32.90049112616532,22.91231011699097,43.90880526716889,27.368901603269403,14.846759528935042,27.51855968406934,48.64268139106849
California,"(37.63864012300047, -120.99999953799971)",24.056118301979932,35.8823034185456,19.668066981508215,32.60596369998978,58.27307870452845,36.68851216112371,23.774697260544286,16.757566148638812,31.444280057224102
Colorado,"(38.843840757000464, -106.13361092099967)",20.7198641783948,35.75688024829032,16.944604662983725,35.38897454218996,61.50130575083018,39.97417966521951,26.738952351257122,18.194225473039232,35.07642084943868
Connecticut,"(41.56266102000046, -72.64984095199964)",25.27031967271109,36.19141011069897,23.02213569770103,30.411319420127466,53.404144097854086,33.17565581769129,21.23858129116499,20.01677001107514,33.22244971588347
Delaware,"(39.008830667000495, -75.57774116799965)",29.443460868639395,36.43370760020386,26.480698824305023,31.06042841751696,49.105578088032665,30.15588181317673,20.76183452196109,24.273253804270137,38.813472105088294
District of Columbia,"(38.89037138500049, -77.03196112699965)",22.511000607538474,31.285538838144568,19.408868076753535,34.919280832836606,58.186591723921225,35.150930021467566,25.46908314639264,19.37132998833467,33.23675925413601
Florida,"(28.932040377000476, -81.92896053899966)",26.1998974371292,36.652334780383846,26.25077973937611,29.27458259266574,51.60878522099449,32.89636253324585,20.310997980448505,20.772559666370775,37.47305054868582
Georgia,"(32.83968109300048, -83.62758034599966)",29.556174120550484,35.20776383101349,25.92435641189639,29.571800306229356,50.51056045495755,31.75857179599931,20.259783740555317,23.062096208299963,42.297438588782846
Guam,"(13.444304, 144.793731)",29.022689719785365,35.683625755898134,28.570845481049563,31.969270598829358,48.94920221794727,32.04188101983003,21.563452530560948,26.598224058974647,43.43283647523016
Hawaii,"(21.304850435000446, -157.85774940299973)",22.17921471642538,34.05486573994728,20.686345103969064,33.177255288220955,58.899684000000015,38.72403365658412,24.546399426998665,21.87584510878273,39.265357041565565
Idaho,"(43.682630005000476, -114.3637300419997)",28.148357288893553,36.22057940391459,21.04945160414089,29.80972515418685,56.03377899160552,35.43861751348585,21.338884965222054,19.28378358553045,37.98681671694654
Illinois,"(40.48501028300046, -88.99771017799969)",28.97807520713831,35.727575612709956,24.175280036826763,30.574236641221372,51.69578293559988,31.623714629083373,21.344290642282207,23.959129072343185,36.473999700284736
Indiana,"(39.766910452000445, -86.14996019399968)",31.7731239140627,34.8144076479304,28.375363882443924,25.517316153823593,44.87053076213936,26.875859046283313,16.18863749207488,26.422234659383452,42.22175374363856
Iowa,"(42.46940091300047, -93.81649055599968)",30.854645277224808,35.51128228978935,25.468975411562603,27.4353919455661,47.978432477439206,27.640765975454926,17.903169709033932,26.356402292350673,39.355784487470395
