State,PopulationCount,Diabetes%
Alabama,2895464.0,13.426309047530891
Alaska,875478.0,7.560698612643607
Arizona,11687735.0,9.18138346736985
Arkansas,1471103.0,10.403361083486342
California,67100209.0,9.794144393797644
Colorado,7530596.0,7.373473786138572
Connecticut,2614482.0,10.702947122986503
Delaware,212553.0,14.177551481277611
District of C,1805136.0,8.870704312583651
Florida,15498792.0,11.273714448196994
Georgia,4655188.0,11.485594717119904
Hawaii,2859575.0,10.930848745005811
Idaho,1086951.0,7.82449834445159
Illinois,13342475.0,10.846942167776218
Indiana,5482268.0,11.691079020580545
Iowa,1945093.0,9.305029373916826
Kansas,3127363.0,10.29803409453908
Kentucky,2679375.0,11.258456468392819
Louisiana,3095748.0,13.2484183144106
Maine,198582.0,7.502857761529244
Maryland,1862861.0,12.81292667568863
Massachusetts,5582948.0,9.866581777225935
Michigan,6675540.0,12.799464552680385
Minnesota,3269743.0,7.518465365626594
Mississippi,723920.0,14.215425875787382
Missouri,4233803.0,10.469877719865568
Montana,512871.0,6.98862345502085
Nebraska,2001998.0,9.394704839864977
Nevada,4121634.0,10.139990984158223
New Hampshire,588177.0,9.01667304229849
New Jersey,3535602.0,14.008179257733191
New Mexico,2396638.0,8.891931739378254
New York,27889082.0,11.122676529833484
North Carolin,8394827.0,9.780367445332713
North Dakota,316647.0,7.466225481372002
Ohio,6990206.0,13.484291822014951
Oklahoma,4079647.0,10.968376136464746
Oregon,3999150.0,8.00558626208069
Pennsylvania,6871879.0,12.584098759596895
Rhode Island,1236744.0,10.133086960599773
South Carolin,1442345.0,10.858545632286312
South Dakota,665478.0,8.638581140172928
Tennessee,5508653.0,12.27019046216925
Texas,36974454.0,11.982611529571217
United States,617491076.0,10.2
Utah,2792631.0,7.715773046994033
Vermont,127251.0,6.2726595468797886
Virginia,5754177.0,10.979922723962085
Washington,6244525.0,8.356670747574878
West Virginia,154151.0,14.100028543441171
Wisconsin,3760451.0,9.039464814193831
Wyoming,178398.0,8.536138858058946
